distance,speed,traffic_level,stops_remaining,time_of_day,eta
5.930831723286756,20.46822734943624,1,8,14.21783802089107,29.037858089712756
14.285357442943784,19.879151962879995,0,5,7.897810799733048,48.39022999848263
11.113912156265373,46.250183220841464,0,6,7.961850308344938,18.211196467139988
9.180548020857032,19.981847993980246,2,3,19.626170832224282,52.17668015037113
2.7622702864153297,20.87798904514524,2,3,14.999640562908068,16.463202960160878
2.7619205448749384,40.37593049671855,0,1,14.187015383729165,4.42628714852865
1.3422123764388922,27.9895936980216,0,4,17.569636303132157,6.062353967042586
13.05955411373656,41.06842227820725,1,7,20.600306918042428,30.351303758582066
9.216167670276528,12.614646302575409,2,6,16.69084345502619,84.2429108900872
10.76705237804266,29.502847746935373,1,6,18.968414339890145,33.31169774299264
0.7984751672891355,11.344544007331304,1,5,19.00959890998827,9.14355658197732
14.563692856348919,12.50612813821418,1,2,12.056444629480303,92.60001777409549
12.570418291606115,46.25749813377644,0,4,10.659414325896927,19.390100509556543
3.5789171048350044,15.569814844703807,1,0,19.619789141977698,17.36653843314642
3.136462024502959,31.296827291008682,1,6,12.412039460332139,12.492623118656727
3.1593653928747902,26.443824104028263,0,8,21.356712110885987,13.683947232871152
4.911512522913297,23.893733050353706,2,0,7.1847418444120335,22.2362449559915
8.10896825866745,45.9933338274909,2,1,6.989697705280774,20.006363133926932
6.763202770310679,10.87293587101958,1,2,21.75907072172394,49.85445513068642
4.722822532871608,36.551587447023564,0,2,17.023733541084393,9.511392715369766
9.371866973474502,48.535777368542014,2,7,12.45318905962165,26.513986451731004
2.5226609794546064,32.40672733847368,1,6,18.836027051875107,10.935926706173522
4.736097403760663,47.472898481323675,1,5,17.429555769891902,11.797788612227652
5.81224672775853,12.09031517144095,0,9,15.030417795933136,37.13219158566184
7.113014771147021,26.751732762966455,1,9,7.680846825265073,28.49447305341376
11.885051440198698,20.406311638482045,2,3,19.807052983976774,65.44909512598366
3.395269841296216,39.23283859922919,0,8,20.72239424157062,11.192388104494933
7.956399356997368,49.25188361988987,2,0,8.926867705395034,17.30070212144026
9.090011248499616,20.26120249776991,2,1,20.458698083610134,50.06114925359302
1.173530984439967,36.16698405896298,2,3,20.923404287281592,5.622869537787289
9.309400352570856,17.923905310389607,1,2,15.340286408904772,42.02913382022617
2.972599793465727,32.61321018286439,1,0,17.15504361578568,6.998772767653858
1.443248098286553,28.557299467533447,2,4,12.498034440246354,8.842120620340292
14.258840290173332,48.88021318526148,2,6,10.790458007657522,36.086341962020775
14.50166447958111,34.341090907858664,0,1,18.273713498177962,26.225418766846975
12.221761547688686,23.980254883472753,0,4,20.65187753326874,33.57240363092038
4.916899653013875,14.563831395517335,1,5,17.119318400247707,30.990859641087653
1.9162456530925662,16.04987314939738,1,6,14.697040380991336,13.769530487404985
10.421378884426275,19.012677198049403,0,0,8.701721036350916,33.37649660694972
6.8822111592242186,20.03866645361192,2,6,6.908798114281908,41.599661084025826
2.269554405249293,44.024642313645515,1,3,13.57676043419469,5.99417582830949
7.680065196613418,32.44891153130099,2,7,6.838942582856162,30.811232725905093
0.9986335561706667,30.935636454974656,0,3,15.678688742422827,3.4811426713369107
13.68514583014234,14.590754874768699,1,5,12.506396252402112,77.37804830182914
4.252309733200246,44.4055877339774,1,8,18.87221503459348,13.287345786209787
10.106573123132739,38.91257212833935,0,4,11.19602444621512,18.6045484501554
5.019810603296459,12.706734476000063,1,3,16.080705916446348,33.5948037878445
8.040986307078256,38.313403889190745,0,7,15.140619869836708,18.557114741327176
8.427299050477554,31.741528693705842,1,8,6.0801112338781,26.392981774133165
3.180389605120142,13.269013829871131,0,3,7.230619770493275,16.936399035279507
14.558977102586098,28.332025661146258,1,2,10.936259612262349,42.25210444757476
11.739425938736161,29.387851485201878,2,7,20.997996377353005,48.42382737592049
14.122734652680743,16.63098160653103,2,4,8.499254233296234,95.16847143253848
13.474996581200909,47.82792588001129,2,1,18.085203617829208,30.656182520418465
9.169549692760734,43.99901485922648,1,9,22.547231624588886,23.648303248580497
13.867176407835194,36.76089349316433,1,8,19.439648395749636,35.88928829161878
1.7831412797528328,28.491822440024286,2,2,10.130071148679747,8.689679836191077
3.3417515050776054,26.470621663380342,2,1,21.442209427022387,14.733901966201234
1.1557956892028018,36.038938686038165,0,0,7.582821660642631,1.2475030226403347
5.217289796067333,31.817274776276218,0,7,13.958413011802508,15.506874990759517
6.135820700497489,12.490924235275426,0,2,21.088212431349035,31.79979563161949
4.434560960721491,30.500105950813268,2,6,16.901517057366785,19.409998705471175
12.516693882702976,42.25614468931358,2,0,13.03195760037088,32.474146288233655
5.672923237057044,28.36959510387832,2,0,10.97781873453187,22.397061708203406
4.573550390467021,12.078263102170737,0,8,12.37668989041195,28.377258813536912
8.369093205794602,41.451127975361324,1,7,14.652010277157865,21.013058335015423
2.5434012621340583,18.054551285438976,2,2,11.423746807837725,17.073170369800785
